Designator,Mid X,Mid Y,Rotation,Layer
A1,136.195,-170.195,90.0,top
C1,138.33,-43.5,90.0,top
C10,141.37,-138.01,180.0,top
C11,99.59,-137.48,180.0,top
C12,147.9,-43.05,0.0,top
C13,149.09,-35.325,270.0,top
C14,68.36,-146.18,0.0,top
C15,168.71,-134.875,0.0,top
C16,167.98,-141.69,90.0,top
C17,76.686157,-171.18,0.0,top
C18,67.245,-176.56,180.0,top
C19,76.665,-169.53,0.0,top
C2,140.315,-33.05,180.0,top
C20,74.168,-181.327112,270.0,bottom
C21,64.008,-181.295112,270.0,top
C23,72.84,-172.24,90.0,top
C3,150.3621,-184.5931,180.0,top
C4,39.7295,-157.8165,0.0,top
C5,46.1175,-157.9175,270.0,top
C6,95.481157,-169.426157,0.0,top
C7,102.661157,-169.126157,270.0,top
C8,79.80375,-39.29625,270.0,top
C9,72.09935,-39.14625,90.0,top
D1,146.56,-193.65,90.0,top
J1,139.0,-192.025,90.0,top
J10,111.0,-192.025,90.0,top
J11,83.0,-192.025,90.0,top
J12,96.971157,-191.925,90.0,bottom
J15,105.085,-36.525,90.0,top
J3,124.98,-192.01,90.0,top
J4,68.971157,-191.925,90.0,top
J5,160.465,-138.895,180.0,top
J6,100.135,-182.215,270.0,top
J7,46.825,-142.175,0.0,top
LED_1,55.026193,-125.00672,0.0,top
LED_10,68.985155,-158.068264,0.0,top
LED_11,82.983035,-158.097702,0.0,top
LED_12,96.951477,-158.097702,0.0,top
LED_13,110.960707,-158.073058,0.0,top
LED_14,124.99082,-158.101633,0.0,top
LED_15,138.963783,-158.087346,0.0,top
LED_16,152.983775,-158.095281,180.0,top
LED_17,167.90241,-173.938671,180.0,top
LED_18,168.025233,-151.096268,180.0,top
LED_19,168.000997,-128.259084,180.0,top
LED_2,68.985606,-125.03142,0.0,top
LED_20,39.991029,-114.446175,0.0,top
LED_21,55.034258,-114.450179,0.0,top
LED_22,69.031007,-114.422133,0.0,top
LED_23,82.99406,-114.422133,0.0,top
LED_24,96.97624,-114.441261,0.0,top
LED_25,110.996675,-114.422133,0.0,top
LED_26,125.09362,-114.460388,0.0,top
LED_27,139.046566,-114.458448,0.0,top
LED_28,153.022093,-114.419389,0.0,top
LED_29,168.008227,-114.474607,180.0,top
LED_3,83.009552,-125.070376,0.0,top
LED_30,39.959783,-57.434927,0.0,top
LED_31,40.010987,-71.439653,0.0,top
LED_32,40.0324,-85.456185,0.0,top
LED_33,40.025952,-99.444637,0.0,top
LED_34,167.989527,-57.401234,180.0,top
LED_35,167.989527,-71.436949,180.0,top
LED_36,168.013171,-85.44132,180.0,top
LED_37,167.957769,-99.421222,180.0,top
